Wavelength,musp,muaoxy,muadeoxy,muawater,muafat,muamel
486,47.32925922998587,132.10198420959514,83.23363174758664,0.00024832,0.0001,746.5234207790703
487,47.04628461762691,130.77719455376553,84.18251099986233,0.00024844,0.0001,741.4310561260056
488,46.76598636641141,129.45240489793593,85.131390252138,0.00024856,0.0001,736.3837679668784
489,46.48833261285097,128.139395910024,87.23584593015349,0.00024868,0.0001,731.3810661474004
490,46.21329194190745,126.82638692211205,89.34030160816899,0.0002488,0.0001,726.4224668302194
491,45.94083337975208,125.22635802493386,91.44368631637377,0.00024892,0.0001,721.5074924008401
492,45.670926386656184,123.62632912775567,93.54707102457857,0.00024904,0.0001,716.6356713751335
493,45.40354085001095,121.94169361553259,95.65152670259405,0.00024916,0.0001,711.8065383084048
494,45.13864707747341,120.25705810330949,97.75598238060954,0.00024928,0.0001,707.0196337059913
495,44.876215790236316,118.63132593067463,99.85936708881434,0.0002494,0.0001,702.2745039353613
496,44.61621811641939,117.00559375803978,101.96275179701914,0.00024952,0.0001,697.5707011396862
497,44.358625584579364,115.42484231745408,104.23856264474581,0.00024964000000000003,0.0001,692.9077831528568
498,44.10341011733664,113.84409087686839,106.51437349247249,0.00024976,0.0001,688.2853134159188
499,43.85054402511613,112.96803757171998,109.11361722302902,0.00024988,0.0001,683.7028608948996
500,43.6,112.09198426657154,111.71286095358555,0.00025,0.0001,679.16
501,43.351751109690184,111.19129865577713,114.31210468414208,0.0002528,0.0001,674.6563105061283
502,43.10577079157835,110.29061304498273,116.91134841469862,0.00025560000000000003,0.0001,670.1913774747485
503,42.86203284692138,109.81296050941279,119.51059214525515,0.0002584,0.0001,665.76479117702
504,42.62051143512004,109.33530797384284,122.10983587581168,0.0002612,0.0001,661.376147018205
505,42.381181068099096,108.07156359722288,124.70907960636822,0.000264,0.0001,657.0250454633193
506,42.14401660478661,106.8078192206029,127.30832333692477,0.00026680000000000003,0.0001,652.7110919640057
507,41.908993245690645,106.94169044693975,129.9075670674813,0.0002696,0.0001,648.4338968866043
508,41.67608652757141,107.0755616732766,132.50681079803783,0.0002724,0.0001,644.1930754414001
509,41.44527231820696,107.1805167147247,135.26027418133444,0.0002752,0.0001,639.9882476130272
510,41.21652681125069,107.28547175617281,138.01373756463104,0.00027800000000000004,0.0001,635.8190380920051
511,40.98982652117877,107.59391106165296,141.12811777413182,0.0002808,0.0001,631.6850762073899
512,40.765148278325796,107.9023503671331,144.2424979836326,0.0002836,0.0001,627.585995860518
513,40.542469224006965,108.64881632518744,147.35687819313338,0.0002864,0.0001,623.5214354598239
514,40.32176680572508,109.39528228324178,150.47125840263416,0.00028920000000000004,0.0001,619.4910378567115
515,40.103018772460786,110.92784008234618,153.58563861213494,0.000292,0.0001,615.4944502824598
516,39.8862031700443,112.46039788145058,156.70001882163572,0.0002948,0.0001,611.5313242861462
517,39.67129833660728,116.49795406777037,159.81439903113653,0.0002976,0.0001,607.6013156735667
518,39.45828289811312,120.53551025409016,162.9287792406373,0.00030040000000000004,0.0001,603.7040844471361
519,39.24713576396421,125.06785449295101,166.0431594501381,0.0003032,0.0001,599.8392947467514
520,39.03783612268477,129.60019873181187,169.15753965963884,0.000306,0.0001,596.0066147915999
521,38.83036343767769,135.61904906791722,172.53537844257056,0.0003088,0.0001,592.205716822895
522,38.62469744305403,141.6378994040226,175.9132172255023,0.00031160000000000004,0.0001,588.4362770475254
523,38.42081813953383,149.18502365998955,180.05358651364884,0.00031440000000000005,0.0001,584.6979755825982
524,38.218705790416834,156.73214791595655,184.19395580179534,0.0003172,0.0001,580.9904964008624
525,38.01834091762177,165.37273234864307,188.33432508994184,0.00032,0.0001,577.3135272769962
526,37.81970429779298,174.0133167813296,192.47469437808832,0.00032520000000000004,0.0001,573.6667597347434
527,37.62277695847306,183.36716710793888,196.61399269642413,0.0003304,0.0001,570.0498889948835
528,37.42754017434024,192.72101743454817,200.75329101475995,0.0003356,0.0001,566.4626139240197
529,37.233975463509395,203.34182504720957,204.89366030290648,0.00034080000000000004,0.0001,562.9046369841734
530,37.04206458389545,213.96263265987093,209.03402959105298,0.000346,0.0001,559.3756641831676
531,36.85178952963787,224.4559948650596,213.17761178863157,0.0003512,0.0001,555.8754050257883
532,36.66313252758532,234.94935707024828,217.32119398621018,0.0003564,0.0001,552.403572465707
533,36.47607603383925,243.11014702774347,221.348040474423,0.0003616,0.0001,548.9598828581559
534,36.29060273035529,251.27093698523865,225.3748869626358,0.0003668,0.0001,545.544055913336
535,36.10669552160141,258.84269354685165,229.40173345084867,0.00037200000000000004,0.0001,542.1558146505527
536,35.92433753127183,266.4144501084646,233.4285799390615,0.0003772,0.0001,538.79488535306
537,35.74351209905559,271.66220218086966,237.4447167291674,0.0003824,0.0001,535.4609975236049
538,35.564202777458796,276.9099542532747,241.46085351927331,0.0003876,0.0001,532.1538838406582
539,35.38639332867952,280.99034923202225,245.47699030937918,0.0003928,0.0001,528.8732801153208
540,35.210067721534465,285.0707442107699,249.49312709948506,0.000398,0.0001,525.6189252488923
541,35.03521012843633,285.2206799842671,253.65919966308826,0.0004032,0.0001,522.3905611910928
542,34.861804922421065,285.3706157577644,257.8252722266914,0.0004084,0.0001,519.1879328989241
543,34.68983667422396,282.1684160237867,262.00205448840154,0.00041359999999999997,0.0001,516.0107882961619
544,34.51929014940385,278.96621628980887,266.1788367501117,0.0004188,0.0001,512.8588782334658
545,34.35015030551439,273.0009144442383,270.35561901182183,0.000424,0.0001,509.73195644909885
546,34.18240228932165,267.0356125986677,274.53240127353195,0.00042919999999999997,0.0001,506.6297795302439
547,34.01603143406715,258.4464347168945,277.8202785923653,0.0004344,0.0001,503.5521068749087
548,33.851023256775534,249.85725683512135,281.1081559111987,0.0004396,0.0001,500.49870065440854
549,33.68736345560599,240.10072185969074,283.56067677769005,0.00044479999999999997,0.0001,497.4693257764166
550,33.52503790724677,230.34418688426015,286.0131976441814,0.00045,0.0001,494.4637498485735
551,33.36403266435191,221.39944702533631,287.80171722804187,0.0004636,0.0001,491.48174314264503
552,33.204333953019436,212.45470716641248,289.59023681190234,0.0004772,0.0001,488.5230785592199
553,33.04592817031033,204.7972730199439,290.7683036036667,0.0004908,0.0001,485.5875315929386
554,32.888801881807446,197.13983887347533,291.94637039543113,0.0005044,0.0001,482.67488029824324
555,32.73294181921377,190.87894936015292,291.9999188859658,0.000518,0.0001,479.78490525564087
556,32.578334877989256,184.6180598468305,292.0534673765006,0.0005316,0.0001,476.91738953847073
557,32.424968115025536,181.88494488993712,291.0467557544474,0.0005452,0.0001,474.0721186801685
558,32.27282874635784,179.1518299330437,290.0400441323942,0.0005588,0.0001,471.2488806420165
559,32.12190414491354,176.89529654190954,289.033332510341,0.0005724,0.0001,468.4474657813752
560,31.972181838296535,174.6387631507754,288.02662088828777,0.000586,0.0001,465.6676668203852
561,31.823649506606948,174.6569696375572,283.978355003861,0.0005996,0.0001,462.9092788151333
562,31.676294980295445,174.67517612433903,279.9300891194343,0.0006131999999999999,0.0001,460.1720991252747
563,31.530106238051644,178.14404734117983,275.36775772587396,0.0006268000000000001,0.0001,457.45592738410437
564,31.385071404725842,181.6129185580206,270.8054263323137,0.0006404,0.0001,454.7605654690669
565,31.241178749283783,188.51960286719205,266.1359979576839,0.000654,0.0001,452.08581747270443
566,31.09841668279352,195.4262871763635,261.46656958305414,0.0006676,0.0001,449.43148967402806
567,30.956773756444065,205.27064167627105,256.43301147278805,0.0006812000000000001,0.0001,446.79739051030987
568,30.816238659595175,215.11499617617864,251.39945336252202,0.0006948,0.0001,444.18333054928786
569,30.676800217857753,226.69217982979058,246.37660495036292,0.0007084000000000001,0.0001,441.5891224617773
570,30.538447391204308,238.2693634834025,241.3537565382038,0.000722,0.0001,439.014580994681
571,30.401169272108973,250.7890005704259,236.7164572578949,0.0007356,0.0001,436.4595229443924
